Actual,Predicted_60_RF,Predicted_60_OLS,Predicted_80_OLS,Predicted_80_RF
13990,31668.3,26716.83024,17349.74086,15467.15
10991,12379.48,18643.73144,17735.58341,11390.89
77990,40421.33,40157.52211,40095.26493,44548.61
28971,21358.32,24211.04536,24791.29701,20432.98
11999,16086.68,16430.67989,9562.64986,12381.12
19988,23894.25,21598.55144,17871.73178,19379.48
11987,10900.69,17681.51686,13809.76795,13031.63
13356,16732.24,18728.33876,13146.88867,12828.27
6495,8486.63,9119.883792,6628.246076,7149.43
17981,13805.55,13293.82425,15326.81598,14529.35
61000,49767.92,49933.78667,70000.50012,52588.99
29595,28896.87,28901.75965,31004.41482,30317.43
7538,13717.23,13213.17904,9989.341185,8779.87
14393,17248.96,21925.22691,14583.63847,14114.48
28991,40252.16,27340.06088,39104.27712,24049.62
7490,11586.26,8179.226188,7022.5714,5900.71
15995,16472.89,18872.83975,16233.3048,16287.02
24499,20659.92,22566.66921,28558.70383,25381.47
20000,23435.47,23118.83393,18502.82222,18951.04
20000,22306.45,28201.33435,19324.22215,19801.99
8800,12802.88,17482.95422,10711.76606,10433.45
12000,9732.14,8769.391875,7781.207523,10049
31990,30738.26,34691.99253,34868.73413,33385.7
29999,17803.68,25867.4305,36917.84177,18892.49
20988,16578.08,15019.24062,20799.39855,21507.01
4995,9105.48,9422.339696,7037.620372,9488.31
28994,34252.07,32480.92121,35148.32281,33886.63
48488,39918.26,32879.85385,34443.97006,41383.08
24888,23890.43,22532.49129,27451.81667,25778.43
65500,29630.12,30870.45782,54596.60791,29529.47
25980,32193.19,33579.13941,27918.54575,27371.97
11995,9950.2,9166.824759,9645.991526,7874.67
19500,29567.8,27223.71608,21656.13568,21820.08
16999,20675.47,21023.33356,17704.53199,14177.99
24995,19316.64,22014.84864,26054.30039,24558.59
44745,30443.04,28352.52343,34805.8966,40653.4
21875,15753.26,16999.23569,21395.79892,18121.34
40777,36604.03,33239.58712,36777.17755,37621.74
34874,37494.19,29502.32875,33275.22776,42675.88
7900,11417.36,12360.12656,4351.318955,12299.51
14988,17198.63,24020.42075,14149.47397,19191.75
13700,14165.86,16423.17699,15693.35184,14477.54
18988,15092.39,16422.68361,18298.36505,17918.57
8496,10507.15,14891.19129,10202.2276,8266.18
38900,17180.03,19374.42202,49525.63195,32506.01
12000,15262.12,14273.9493,11791.1654,12375.42
27655,15034.65,20110.70513,27627.58251,30137.64
41651,29806.19,25547.98946,33665.22522,34481.11
17406,27585.05,23212.39803,20777.79799,18782.22
29888,23414.57,22586.11073,29263.33042,28927.33
34899,33978.52,30401.68834,32645.16119,33638.33
29590,27324.45,29258.67095,30585.17706,24782.45
25950,34141.95,27938.66648,25145.28797,28430.46
10995,28486.7,26728.06409,13304.32274,24163.13
7981,21727.55,15038.58281,4708.045059,11427.73
26800,39681.14,33899.45666,24782.84252,22522.33
17748,18597.51,19821.2093,17860.5398,17663.83
39912,23214.08,23671.86857,39982.21595,41272.7
15994,16778.34,19015.20118,13839.57027,13568.26
38000,43490.7,30751.03367,47472.54227,38059.66
15990,15280.3,16245.44767,18692.99835,16908.74
12495,16664.12,15239.49784,10799.58468,14151.9
19187,25722.09,26801.3481,23337.40696,20263.87
9995,10071.65,11375.3413,12755.79673,14959.01
21500,20546.32,15891.70459,20504.13816,19110.14
26988,21644.15,19147.80755,27255.49174,24038.1
13421,15642.37,9208.358919,13157.69147,11910.9
9900,10147.27,11460.41475,9096.280366,12933.67
28980,34669.29,30960.05339,27182.89108,28166.52
19995,23070.36,26451.9332,17183.5535,17640.43
18900,28935.5,18330.58194,19104.64474,18296.27
37236,36155.4,35475.326,36537.98202,35062.72
24900,21840.65,24960.0992,28479.37173,27556.85
19915,27335.91,24299.2966,28097.7574,25524.34
19277,15866.3,12392.2935,18719.70776,15292.25
13997,14323.86,10715.35057,17126.19795,13490.91
